word,times
shirts,67
The,30
fit,29
good,25
like,21
size,20
These,20
quality,19
They,19
wear,18
shirt,18
pocket,16
comfortable,14
soft,14
great,14
bought,13
pack,13
little,13
price,12
buy,12
work,11
material,11
would,11
thin,10
perfect,10
colors,10
nice,10
well,10
Gildan,10
time,9
years,9
last,8
brand,8
Hanes,8
Good,8
long,8
shrink,8
large,8
Great,8
even,7
get,7
Shirts,7
feel,7
expected,7
also,7
weight,7
color,7
bit,7
purchased,6
go,6
happy,6
My,6
made,6
needed,6
light,6
first,6
wash,6
small,6
medium,5
washing,5
loves,5
recommend,5
look,5
regular,5
Nice,5
still,5
around,5
love,5
right,5
buying,5
looking,5
ordered,5
really,5
use,5
rating,4
day,4
seem,4
It,4
que,4
husband,4
de,4
purchase,4
past,4
beat,4
used,4
got,4
For,4
Overall,4
holes,4
hard,4
job,4
But,4
cut,4
brands,4
fabric,4
inexpensive,4
You,4
lightweight,4
neck,4
arms,4
fine,4
keep,4
XL,4
fade,4
said,4
If,4
new,4
stars,4
dryer,4
better,4
tag,4
Colors,4
After,4
reviews,4
pockets,4
value,4
true,4
Very,4
phone,4
undershirts,4
bien,3
think,3
pretty,3
tight,3
already,3
always,3
several,3
seam,3
Two,3
fits,3
shrunk,3
en,3
thicker,3
thinner,3
worn,3
seems,3
tell,3
simple,3
different,3
cotton,3
quite,3
may,3
placed,3
home,3
far,3
bad,3
make,3
need,3
super,3
torso,3
one,3
comes,3
enough,3
He,3
heavy,3
could,3
Love,3
Not,3
son,3
couple,3
washes,3
variety,3
perfectly,3
working,3
cheap,3
washings,3
Just,3
see,3
big,3
FTL,3
two,3
way,3
seams,3
going,3
Jockey,3
However,3
normally,3
expect,3
feels,3
decent,3
much,3
every,3
money,3
threads,2
black,2
described,2
times,2
kind,2
done,2
snug,2
extra,2
Loom,2
similar,2
else,2
weather,2
comfy,2
wrinkle,2
Fruit,2
warm,2
biceps,2
wrong,2
touch,2
likes,2
Was,2
wish,2
monitor,2
air,2
either,2
noticed,2
men,2
Size,2
thick,2
loose,2
essentially,2
cover,2
favorite,2
heat,2
Quality,2
While,2
say,2
advertised,2
sleeves,2
without,2
Pocket,2
tagless,2
Can,2
repeated,2
ones,2
actually,2
activities,2
seen,2
Perfect,2
star,2
shorted,2
white,2
bigger,2
No,2
packs,2
crew,2
relaxing,2
stretch,2
back,2
definitely,2
Soft,2
sizing,2
another,2
side,2
drying,2
summer,2
Washed,2
collars,2
best,2
Fit,2
standard,2
quickly,2
This,2
point,2
change,2
able,2
Bought,2
para,2
el,2
father,2
breathable,2
TO,2
house,2
longer,2
issue,2
blue,2
problem,2
collar,2
Material,2
shape,2
tees,2
ever,2
washed,2
put,2
flimsiest,2
Don,2
un,2
pero,2
shrank,2
thought,2
When,2
thing,2
overall,2
poco,2
la,2
correct,2
might,2
ton,2
Fits,2
High,2
Some,2
shoulder,2
various,2
comfort,2
run,2
otherwise,2
experience,2
plain,2
anything,2
learned,2
many,2
shop,2
hold,2
amount,2
purchasing,2
tops,2
received,2
WILL,2
So,2
probably,2
things,2
irregulars,1
properly,1
underwhelmed,1
WEAR,1
elsewhere,1
BATTLE,1
escaped,1
purpose,1
majority,1
THE,1
lining,1
BANDS,1
OF,1
next,1
ARE,1
cooler,1
sense,1
members,1
family,1
rent,1
cloth,1
printed,1
etc,1
liked,1
dad,1
toilet,1
paper,1
AND,1
GOING,1
wardrobe,1
WHAT,1
BRO,1
mixed,1
Selling,1
want,1
understand,1
YOU,1
ALL,1
pricey,1
loungewear,1
softer,1
slightly,1
show,1
foot,1
needing,1
replaced,1
fave,1
chest,1
135,1
weigh,1
accurate,1
worry,1
Sleeves,1
knock,1
length,1
ran,1
From,1
Made,1
comprar,1
bicep,1
Tagless,1
volvería,1
duda,1
mild,1
muscles,1
triceps,1
sin,1
atuendo,1
cualquier,1
con,1
combinar,1
tall,1
high,1
dry,1
hanger,1
Tees,1
know,1
Hubby,1
todo,1
general,1
gusto,1
anyway,1
mi,1
fina,1
Washes,1
album,1
es,1
tela,1
largas,1
grandes,1
algo,1
cómodas,1
Son,1
condiciones,1
buenas,1
llegó,1
paquete,1
El,1
softener,1
boom,1
golden,1
Other,1
terrific,1
slip,1
As,1
clothes,1
tank,1
input,1
Medium,1
Still,1
issues,1
mended,1
casual,1
weak,1
sweating,1
due,1
took,1
appear,1
cycle,1
delicate,1
completing,1
tasks,1
Would,1
EXCELENT,1
clothing,1
developed,1
lighter,1
close,1
Amazon,1
Essentials,1
graphics,1
larger,1
opening,1
Neck,1
trust,1
sensory,1
fitting,1
tags,1
autism,1
higher,1
felt,1
compare,1
Eversoft,1
sleeve,1
awkward,1
encanta,1
spot,1
therefore,1
top,1
Due,1
changes,1
company,1
easily,1
personally,1
difference,1
option,1
undershirt,1
prefer,1
though,1
deal,1
First,1
since,1
group,1
differences,1
hottest,1
using,1
setting,1
swimming,1
results,1
testing,1
drop,1
coin,1
versatile,1
Recommend,1
prime,1
recently,1
important,1
Have,1
mind,1
muscle,1
XD,1
practical,1
terrible,1
collection,1
daily,1
getting,1
tighter,1
shorter,1
tail,1
itchy,1
easy,1
stitching,1
durable,1
customer,1
offer,1
assortments,1
looks,1
band,1
True,1
positive,1
afford,1
Strongly,1
Up,1
including,1
year,1
preshrunk,1
prior,1
people,1
gravitate,1
TON,1
inspected,1
KEWL,1
Each,1
constantly,1
iffy,1
production,1
laser,1
order,1
shrinks,1
jogging,1
typical,1
custom,1
oversize,1
tad,1
car,1
fab,1
race,1
tend,1
tracks,1
give,1
Thumbs,1
highly,1
wet,1
along,1
lookin,1
Me,1
jackets,1
says,1
wears,1
church,1
grad,1
parties,1
suit,1
sometimes,1
hace,1
something,1
smell,1
notice,1
Maybe,1
construction,1
Thin,1
flattering,1
worked,1
fiance,1
sweat,1
priced,1
reasonably,1
bastante,1
esta,1
creo,1
precio,1
por,1
algodon,1
100,1
dice,1
pues,1
eso,1
esperaba,1
breathes,1
deeper,1
eye,1
Item,1
dollar,1
handy,1
That,1
usual,1
knit,1
double,1
almost,1
Stretchy,1
geans,1
town,1
tucked,1
stay,1
fact,1
delivery,1
gets,1
glasses,1
complaining,1
roomy,1
surprised,1
baby,1
grab,1
toss,1
neckline,1
