Bought this product recently and I must say IT WAS WORTH THE BUY!!!!!,5,Reviewed, XX-LargeColor,Great buy!,"Bought these for my hubby and he loves them. The quality,the comfort he feels and the size was just right. Planning on buying again soon. 😌"
Brady,4,Reviewed, LargeColor,Great,"Ok the reviews did not lie lol, these things really shrink. I ordered a large knowing they would probably shrink, when I received the shirts they fit like a XL but after a wash they fit like a medium which is fine. Good quality, comfortable and lightweight."
Debi,5,Reviewed, XX-LargeColor,Awesome,Husband loves the softness. Fits perfect. Material is great 👍. Looks good in all colors. Length is just what I was looking for. Excellent value.
Terrence B. Schroedle,5,Reviewed, XX-LargeColor,"Very comfortable shirts, if you need large buy XL…","These are very nice shirts, I bought XL first, they fit nice until I washed & dried them, they shrank. I gave the XL to my son and ordered XXL. When I washed them these shrank and fit me perfectly!"
Amazon Customer,3,Reviewed, X-LargeColor,amazingly thin,it's a good thing they're cheap because I can see through the fabric before the first wash. These might be the flimsiest shirt I've ever purchased. There's no way the neck is going to keep its shape. I would only buy these again to use as rags. So you get 3 stars for less than 4 bucks a shirt - any more expensive and they'd be a 2 tops.
Cindy Decker,5,Reviewed, X-LargeColor,Absolutely perfect,"These are a good reliable brand with pockets, unfortunately they are too big. I would like to exchange them for large."
Steve G,5,Reviewed, X-LargeColor,Buy a size up from what you wear,The reviews stating shrinkage are correct. I wear L. But ordered XL and they fit perfectly after washing These are a great buy. Not the thickest material but I would not consider them thin. Good overall quality.
Mr Woodward,5,Reviewed, 3X-LargeColor,Comfortable,"I like the variety color pack and the pocket on the front. I thought I wouldn’t like that but now that I have them, I like the pocket and they are very comfortable I have a very big belly and these 3X shirts. Keep it hidden just right."
Jamie,4,Reviewed, LargeColor,Nice T-Shirts with Pockets,These T-shirts are nice and the material isn't thin. The only problem I have with these are that they fit smaller than regular size T-shirts. I bought medium and should have purchased large. Nice quality made T-shirts.
RDana,5,Reviewed, MediumColor,The high-quality you would expect,"These are the only T-shirts my father will wear. High quality and the must have pocket. They wash well, don’t shrink, hold their color and last for many years. Super happy with this purchase."
Nick,4,Reviewed, MediumColor,Good enough.,"It's a pack of plain various colored Hanes pocket t-shirts you can't really expect much. They're ok quality but I learned 2 lessons from purchasing these shirts before.
1. Order a size up from what you normally wear these shirts WILL SHRINK. They will shrink a decent amount. I learned the hard way the first time.
2. These are not the shirts to wear to work if you work a blue collar type of job it's just not cut out for being stretched or being put through hard work.
3. Don't expect these shirts to last long my first pack that I purchased although those shirts don't fit perfect already have holes around the pocket.
Overall these are decent shirts I don't regret my purchase and you get 6 shirts for a price that's hard to beat."
Alejandro Albornoz,4,Reviewed, MediumColor,Me quedan perfectas / la tela pica un poco,"Se ven muy bien, la talla M me quedo perfecta en los hombros, y tambien de largo y de ancho (soy delgado y mido 1.85m). A pesar de que las lave antes de usar, hacen que me pique el cuerpo un poco si hace calor, no esperaba eso pues dice que son 100% algodon, pero por el precio creo que esta bastante bien"
James R. McCoy,4,Reviewed, 3X-LargeColor,lightweight tees with pockets.,I like these tees as they are very reasonably priced and not so heavy that I sweat so bad.
Lydia,4,Reviewed, LargeColor,A little long,"My fiance was in need of more shirts, and these worked great! They’re super soft, and flattering! The only issue is they were a bit long, and he’s longer in the torso as is, but after one wash, they shrunk enough to fit better. He says they’re breathable and super comfortable. He wears them to church, grad parties, and even under suit jackets sometimes. Some reviews said something about the smell being bad, but I didn’t notice anything bad. Maybe it was just my experience, but it was fine!"
Kent,4,Reviewed, XX-LargeColor,T-Shirts,"The material is a little thin, otherwise a good buy."
Amazon Customer,4,Reviewed, LargeColor,Economical Purchase,Shirts run true to size and great for my construction work. Thin material that breathes. Pocket could be a bit deeper for phone or eye glasses that don’t fall out when leaning over. Two of the shirts have already had a seam come loose.
Mitch owen,4,Reviewed, 3X-LargeColor,Good,Good
Good product 😀,4,Reviewed, XX-LargeColor,Shirt sets,Great set comfortable shirts
Design Critic,5,Reviewed, X-LargeColor,Great T-shirts.,"I love these T-shirts, I've bought them several times now. They are comfortable, they last a good long time and hold their shape, I like that they have pockets and are pretty inexpensive. When I have an old T-shirt that develops holes or a sagging neckline, I'm happy to toss it and grab a new one."
Venice,5,Reviewed, SmallColor,Great material,. My baby father loves them fits him perfect
ngawang tsultim,4,Reviewed, SmallColor,Better than expected,Was surprised by the quality and how good they were. Bought a pack and I’ll be buying again in a few years.
CR,5,Reviewed, XX-LargeColor,Very comfortable,"The shirts are roomy and comfortable. I wish the material was a little thicker but for the price, I'm not complaining. It gets the job done."
Amazon Customer,5,Reviewed, X-LargeColor,item is as described and on time.,Item is as described and on time delivery.
Jay,4,Reviewed, LargeColor,will shrink a little,I am kind of between a large and an extra large because I have long arms and a long torso. If you're like me buy the extra large because they shrink a little. I like the shirts.
Book Lover,5,Reviewed, MediumColor,Excellent cotton crew neck T-shirt,These cotton crew neck T-shirts are so soft and comfortable. I love the different colors and the fact that there is no tag in the back. They are definitely longer that regular T-shirts and stay tucked in so much better.
Brian Tamburelli,5,Reviewed, X-LargeColor,Good enough for me.,I'm simple from a small town. I wear blue geans and a T-shirt all the time.😊 I like the comfort and soft cotton.
